2024-02-06 09:14:43,Massimo,test@test.com,029382098302938,
2024-02-06 09:15:44,Massimo,test@test.com,029382098302938,Zonhoven - Mexico
2024-02-06 09:16:57,Massimo,test@test.com,029382098302938,Zonhoven - Mexico
2024-02-06 09:17:44,dsfsdf,dsfsdf@dsfsdf.com,sdfsdf,Hasselt - Griekenland
2024-02-06 12:36:02,Tante Frieda,frieda@mail.com,028309283098,Oudsbergen - Italië
2024-02-06 12:43:46,Tante Frieda,frieda@mail.com,028309283098,Oudsbergen - Italië
2024-02-06 12:44:42,Tante Frieda,frieda@mail.com,028309283098,Oudsbergen - Italië
2024-02-07 09:11:52,Tante Frieda,frieda@gmail.com,09209328309,Vlaardingen - Nederland
2024-02-07 09:18:56,Tante Frieda,frieda@gmail.com,09209328309,Vlaardingen - Nederland
2024-02-07 10:50:46,Tante Frieda,frieda@gmail.com,0238092380938,Vlaardingen - Nederland
2024-02-07 10:51:47,Tante Frieda,frieda@gmail.com,0238092380938,Vlaardingen - Nederland
2024-02-07 10:52:36,Tante Germain,germain@test.com,029093830293,Genk - Thailand
2024-02-07 10:55:47,Tante Germain,germain@test.com,029093830293,Genk - Thailand
2024-02-07 10:56:28,Tante Germain,germain@test.com,029093830293,Genk - Thailand
2024-02-09 09:19:55,Tante Frieda,frieda@hotmail.com,023809283,
2024-02-09 09:20:32,Tante Frieda,frieda@hotmail.com,023809283,
2024-02-09 09:20:51,sdfdsfs,dsfdsf@te.com,082094,1
2024-02-09 10:31:54,dfsdfs,sdfsdf@test.com,sdsfsdfsdf,2
2024-02-09 10:32:14,sdfsdfsdf,sdfsdsdf@teztze.com,sdfsdfsdf,2
2024-02-19 09:18:15,test,test@test.com,02390238,1
2024-02-19 09:18:47,test,test@test.com,02390238,1
2024-02-19 10:23:47,test,test@test.com,02390238,1
2024-02-19 10:23:55,test,test@test.com,02390238,1
2024-02-19 10:24:41,test,test@test.com,02390238,1
2024-02-19 10:24:51,test,test@test.com,02390238,1
2024-02-19 10:25:43,test,test@test.com,02390238,1
2024-02-19 10:25:49,test,test@test.com,02390238,1
